a,2,21.11,43.709,187.14,2016-03-15 19:05:58
a,3,20.74,41.360,215.71,2016-03-15 19:05:59
a,4,21.14,42.453,232.86,2016-03-15 19:06:00
c,4,21.97,37.999,215.71,2016-03-15 19:06:00
c,5,22.01,41.563,158.57,2016-03-15 19:06:00
a,1,20.72,45.410,197.14,2016-03-15 19:06:01
b,1,22.92,50.513,165.71,2016-03-15 19:06:01
b,2,22.67,64.647,185.71,2016-03-15 19:06:01
b,3,22.75,53.186,187.14,2016-03-15 19:06:01
c,1,22.27,40.388,142.86,2016-03-15 19:06:01
c,2,22.10,50.351,172.86,2016-03-15 19:06:01
c,3,22.10,35.325,154.29,2016-03-15 19:06:01
a,2,21.12,43.709,188.57,2016-03-15 19:06:02
a,4,21.14,42.494,232.86,2016-03-15 19:06:03
a,1,20.72,45.410,200.00,2016-03-15 19:06:04
a,3,20.74,41.360,214.29,2016-03-15 19:06:04
c,1,22.28,40.307,142.86,2016-03-15 19:06:04
c,2,22.10,50.392,172.86,2016-03-15 19:06:04
b,1,22.91,50.513,165.71,2016-03-15 19:06:05
b,2,22.66,64.607,185.71,2016-03-15 19:06:05
b,3,22.75,53.186,184.29,2016-03-15 19:06:05
c,3,22.09,35.325,157.14,2016-03-15 19:06:05
c,4,21.98,37.999,220.00,2016-03-15 19:06:05
c,5,22.00,41.563,158.57,2016-03-15 19:06:05
a,2,21.12,43.709,185.71,2016-03-15 19:06:06
a,1,20.72,45.410,198.57,2016-03-15 19:06:07
a,3,20.74,41.360,214.29,2016-03-15 19:06:08
a,4,21.14,42.535,232.86,2016-03-15 19:06:08
c,4,21.98,37.999,217.14,2016-03-15 19:06:08
b,1,22.90,50.513,165.71,2016-03-15 19:06:09
b,2,22.66,64.647,185.71,2016-03-15 19:06:09
b,3,22.76,53.186,185.71,2016-03-15 19:06:09
c,1,22.26,40.307,144.29,2016-03-15 19:06:09
c,2,22.11,50.392,168.57,2016-03-15 19:06:09
c,3,22.09,35.285,155.71,2016-03-15 19:06:09
c,5,22.00,41.563,160.00,2016-03-15 19:06:09
a,2,21.12,43.709,185.71,2016-03-15 19:06:10
a,3,20.74,41.401,215.71,2016-03-15 19:06:11
a,1,20.72,45.410,198.57,2016-03-15 19:06:12
a,4,21.14,42.494,230.00,2016-03-15 19:06:12
c,1,22.28,40.307,142.86,2016-03-15 19:06:12
c,4,21.98,37.999,215.71,2016-03-15 19:06:12
b,1,22.92,50.513,165.71,2016-03-15 19:06:13
b,2,22.66,64.607,184.29,2016-03-15 19:06:13
b,3,22.74,53.145,184.29,2016-03-15 19:06:13
c,2,22.10,50.432,172.86,2016-03-15 19:06:13
c,3,22.09,35.325,157.14,2016-03-15 19:06:13
c,5,22.00,41.563,158.57,2016-03-15 19:06:13
a,2,21.12,43.709,185.71,2016-03-15 19:06:14
a,1,20.71,45.410,198.57,2016-03-15 19:06:16
a,3,20.73,41.360,210.00,2016-03-15 19:06:16
a,4,21.14,42.494,232.86,2016-03-15 19:06:16
c,2,22.10,50.392,172.86,2016-03-15 19:06:16
c,3,22.09,35.325,160.00,2016-03-15 19:06:16
c,5,22.00,41.522,157.14,2016-03-15 19:06:16
b,1,22.91,50.513,165.71,2016-03-15 19:06:17
c,1,22.27,40.307,142.86,2016-03-15 19:06:17
c,4,21.98,38.039,218.57,2016-03-15 19:06:17
a,2,21.12,43.709,187.14,2016-03-15 19:06:18
b,2,22.66,64.647,185.71,2016-03-15 19:06:18
b,3,22.75,53.145,184.29,2016-03-15 19:06:18
a,1,20.71,45.410,198.57,2016-03-15 19:06:20
a,3,20.74,41.360,214.29,2016-03-15 19:06:20
a,4,21.14,42.494,230.00,2016-03-15 19:06:20
c,1,22.27,40.307,142.86,2016-03-15 19:06:20
c,2,22.10,50.432,172.86,2016-03-15 19:06:20
c,3,22.08,35.325,160.00,2016-03-15 19:06:20
b,1,22.92,50.513,165.71,2016-03-15 19:06:21
b,2,22.67,64.607,184.29,2016-03-15 19:06:21
b,3,22.75,53.145,184.29,2016-03-15 19:06:21
c,4,21.98,38.039,218.57,2016-03-15 19:06:21
c,5,22.00,41.563,158.57,2016-03-15 19:06:21
a,2,21.12,43.709,185.71,2016-03-15 19:06:22
a,1,20.70,45.410,198.57,2016-03-15 19:06:24
a,3,20.74,41.360,214.29,2016-03-15 19:06:24
a,4,21.14,42.494,232.86,2016-03-15 19:06:24
c,1,22.26,40.307,144.29,2016-03-15 19:06:24
c,3,22.09,35.325,158.57,2016-03-15 19:06:24
c,5,22.00,41.563,158.57,2016-03-15 19:06:24
b,2,22.66,64.607,187.14,2016-03-15 19:06:25
b,3,22.74,53.145,185.71,2016-03-15 19:06:25
c,2,22.11,50.392,172.86,2016-03-15 19:06:25
c,4,21.98,38.039,215.71,2016-03-15 19:06:25
b,1,22.91,50.513,164.29,2016-03-15 19:06:26
a,2,21.12,43.709,184.29,2016-03-15 19:06:27
a,4,21.13,42.535,231.43,2016-03-15 19:06:27
a,1,20.72,45.410,198.57,2016-03-15 19:06:28
a,3,20.73,41.441,214.29,2016-03-15 19:06:28
